GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005215	0.00123145539668305	5.625	4.8145896656535	11	16	transporter activity
GO:0001664	0.00351159447086245	14.7741935483871	2.1063829787234	6	7	G protein-coupled receptor binding
GO:0022857	0.0072488991374793	4.5	4.21276595744681	9	14	transmembrane transporter activity
GO:0008009	0.0078536066044788	Inf	1.20364741641337	4	4	chemokine activity
GO:0042379	0.0078536066044788	Inf	1.20364741641337	4	4	chemokine receptor binding
GO:0048020	0.0078536066044788	Inf	1.20364741641337	4	4	CCR chemokine receptor binding
GO:0015075	0.00973513499297698	5.75724637681159	3.00911854103343	7	10	monoatomic ion transmembrane transporter activity
GO:0015318	0.00973513499297698	5.75724637681159	3.00911854103343	7	10	inorganic molecular entity transmembrane transporter activity
GO:0005125	0.0104438797039427	12.1808510638298	1.80547112462006	5	6	cytokine activity
GO:0046873	0.0104438797039427	12.1808510638298	1.80547112462006	5	6	metal ion transmembrane transporter activity
GO:0016788	0.0240103327975578	4.88172043010753	2.70820668693009	6	9	hydrolase activity, acting on ester bonds
GO:0030695	0.0240103327975578	4.88172043010753	2.70820668693009	6	9	GTPase regulator activity
GO:0060589	0.0240103327975578	4.88172043010753	2.70820668693009	6	9	nucleoside-triphosphatase regulator activity
GO:1901702	0.0240103327975578	4.88172043010753	2.70820668693009	6	9	salt transmembrane transporter activity
GO:0004620	0.0266695390943759	Inf	0.90273556231003	3	3	phospholipase activity
GO:0005096	0.0266695390943759	Inf	0.90273556231003	3	3	GTPase activator activity
GO:0008081	0.0266695390943759	Inf	0.90273556231003	3	3	phosphoric diester hydrolase activity
GO:0015081	0.0266695390943759	Inf	0.90273556231003	3	3	sodium ion transmembrane transporter activity
GO:0016298	0.0266695390943759	Inf	0.90273556231003	3	3	lipase activity
GO:0016874	0.0266695390943759	Inf	0.90273556231003	3	3	ligase activity
GO:0016879	0.0266695390943759	Inf	0.90273556231003	3	3	ligase activity, forming carbon-nitrogen bonds
GO:0016881	0.0266695390943759	Inf	0.90273556231003	3	3	acid-amino acid ligase activity
GO:0008324	0.0277745927866433	6.06382978723404	2.1063829787234	5	7	monoatomic cation transmembrane transporter activity
GO:0022890	0.0277745927866433	6.06382978723404	2.1063829787234	5	7	inorganic cation transmembrane transporter activity
GO:0030545	0.0277745927866433	6.06382978723404	2.1063829787234	5	7	signaling receptor regulator activity
GO:0030546	0.0277745927866433	6.06382978723404	2.1063829787234	5	7	signaling receptor activator activity
GO:0042578	0.0277745927866433	6.06382978723404	2.1063829787234	5	7	phosphoric ester hydrolase activity
GO:0048018	0.0277745927866433	6.06382978723404	2.1063829787234	5	7	receptor ligand activity
GO:0005126	0.0300853545310034	9.64210526315789	1.50455927051672	4	5	cytokine receptor binding
GO:0005216	0.0300853545310034	9.64210526315789	1.50455927051672	4	5	monoatomic ion channel activity
GO:0015267	0.0300853545310034	9.64210526315789	1.50455927051672	4	5	channel activity
GO:0022803	0.0300853545310034	9.64210526315789	1.50455927051672	4	5	passive transmembrane transporter activity
GO:0044325	0.0300853545310034	9.64210526315789	1.50455927051672	4	5	transmembrane transporter binding
