GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005694	0.0000000282768936242085	4.72163865546218	40.9107142857143	62	79	chromosome
GO:0032991	0.000000948415017474101	3.06122448979592	68.3571428571429	90	132	protein-containing complex
GO:0030312	0.0000109245950644167	12.1854304635762	12.9464285714286	23	25	external encapsulating structure
GO:0031012	0.0000109245950644167	12.1854304635762	12.9464285714286	23	25	extracellular matrix
GO:0098687	0.0000582807974715852	6.62751677852349	15.0178571428571	25	29	chromosomal region
GO:0000793	0.0000924779276860983	7.67105263157895	12.9464285714286	22	25	condensed chromosome
GO:0062023	0.000135472251414926	9.80645161290323	10.875	19	21	collagen-containing extracellular matrix
GO:0032993	0.000166534037972467	3.58102766798419	24.3392857142857	36	47	protein-DNA complex
GO:0000775	0.000167059249911103	7.27450980392157	12.4285714285714	21	24	chromosome, centromeric region
GO:0000785	0.000195415975555778	3.69142857142857	22.7857142857143	34	44	chromatin
GO:0005654	0.000205918563773238	2.38473767885533	56.4464285714286	72	109	nucleoplasm
GO:0000779	0.000456594827771877	8.6624203821656	9.83928571428571	17	19	condensed chromosome, centromeric region
GO:0031974	0.000476025693819435	2.14285714285714	74.5714285714286	90	144	membrane-enclosed lumen
GO:0043233	0.000476025693819435	2.14285714285714	74.5714285714286	90	144	organelle lumen
GO:0070013	0.000476025693819435	2.14285714285714	74.5714285714286	90	144	intracellular organelle lumen
GO:0005667	0.000617118783239605	14.0875	7.76785714285714	14	15	transcription regulator complex
GO:0005634	0.0007534133907036	2.06060606060606	87	102	168	nucleus
GO:0000776	0.000828015095243522	8.10126582278481	9.32142857142857	16	18	kinetochore
GO:0005819	0.000864183262183924	4.16	15.5357142857143	24	30	spindle
GO:0031981	0.00090829679408593	2.13305964742816	59.0357142857143	73	114	nuclear lumen
GO:0005813	0.000929568368716703	4.54473684210526	13.9821428571429	22	27	centrosome
GO:0005815	0.00326081542149684	3.37275307473983	15.5357142857143	23	30	microtubule organizing center
GO:0043228	0.00495423869368828	1.8095987411487	79.75	92	154	non-membrane-bounded organelle
GO:0043232	0.00495423869368828	1.8095987411487	79.75	92	154	intracellular non-membrane-bounded organelle
GO:0000922	0.00813929638434939	5.92592592592593	7.25	12	14	spindle pole
GO:0005788	0.00813929638434939	5.92592592592593	7.25	12	14	endoplasmic reticulum lumen
GO:0000940	0.00941260891042409	Inf	3.625	7	7	outer kinetochore
GO:0043227	0.0106534891037974	1.88527349228611	133.607142857143	143	258	membrane-bounded organelle
GO:0099080	0.0108769765003447	2.05111111111111	30.5535714285714	39	59	supramolecular complex
GO:0043231	0.0127340790224961	1.77929547088426	125.321428571429	135	242	intracellular membrane-bounded organelle
GO:0005581	0.0184890532169045	Inf	3.10714285714286	6	6	collagen trimer
GO:0005604	0.0184890532169045	Inf	3.10714285714286	6	6	basement membrane
GO:0015630	0.0186574872405664	1.96338672768879	28.4821428571429	36	55	microtubule cytoskeleton
GO:0140513	0.0189309677435118	2.46052631578947	16.0535714285714	22	31	nuclear protein-containing complex
GO:0005875	0.0238030240035192	4.8780487804878	6.21428571428571	10	12	microtubule associated complex
GO:0000307	0.0362122876615112	Inf	2.58928571428571	5	5	cyclin-dependent protein kinase holoenzyme complex
GO:0005876	0.0362122876615112	Inf	2.58928571428571	5	5	spindle microtubule
GO:0098858	0.0362122876615112	Inf	2.58928571428571	5	5	actin-based cell projection
GO:1902554	0.0362122876615112	Inf	2.58928571428571	5	5	serine/threonine protein kinase complex
GO:1902911	0.0362122876615112	Inf	2.58928571428571	5	5	protein kinase complex
GO:0090575	0.0418560694101838	6.74850299401198	4.14285714285714	7	8	RNA polymerase II transcription regulator complex
