GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0005201	0.000237254221585836	Inf	6.95440729483283	13	13	extracellular matrix structural constituent
GO:0003677	0.00126761034980586	2.58646616541353	32.09726443769	43	60	DNA binding
GO:0000981	0.00967737746583788	3.14102564102564	13.9088145896657	20	26	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0003700	0.00967737746583788	3.14102564102564	13.9088145896657	20	26	DNA-binding transcription factor activity
GO:0000987	0.0283449707732741	2.52411282984531	13.9088145896657	19	26	cis-regulatory region sequence-specific DNA binding
GO:0061134	0.0299300776079972	7.23809523809524	4.8145896656535	8	9	peptidase regulator activity
GO:0140110	0.0305400236249086	2.13726670680313	19.258358662614	25	36	transcription regulator activity
GO:0005524	0.0357263865677475	2.03666666666667	20.3282674772036	26	38	ATP binding
GO:0000978	0.0409505948810704	2.37613019891501	13.3738601823708	18	25	RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0005198	0.0409505948810704	2.37613019891501	13.3738601823708	18	25	structural molecule activity
GO:0003690	0.0422188519200025	2.03827751196172	18.7234042553191	24	35	double-stranded DNA binding
GO:1990837	0.0422188519200025	2.03827751196172	18.7234042553191	24	35	sequence-specific double-stranded DNA binding
GO:0005178	0.0426536361011244	Inf	2.67477203647416	5	5	integrin binding
GO:0005518	0.0426536361011244	Inf	2.67477203647416	5	5	collagen binding
GO:0008094	0.0426536361011244	Inf	2.67477203647416	5	5	ATP-dependent activity, acting on DNA
GO:0016538	0.0426536361011244	Inf	2.67477203647416	5	5	cyclin-dependent protein serine/threonine kinase regulator activity
GO:0042826	0.0426536361011244	Inf	2.67477203647416	5	5	histone deacetylase binding
GO:0140097	0.0426536361011244	Inf	2.67477203647416	5	5	catalytic activity, acting on DNA
GO:0004672	0.0468851862101488	3.33333333333333	7.48936170212766	11	14	protein kinase activity
GO:0043565	0.0487159475244403	1.9453642384106	19.7933130699088	25	37	sequence-specific DNA binding
